=== DIAG START === Pose: Pose2d(Translation2d(X: 0.68, Y: 0.21), Rotation2d(Rads: 0.06, Deg: 3.45))
[DIAG FWD 2m/s t=0] pose=(0.681,0.209,3.4deg) vel=(0.016,0.000,0.001) V=11.79
[DIAG FWD 2m/s t=5] pose=(0.712,0.365,-0.1deg) vel=(0.333,-0.000,-0.000) V=9.29
[DIAG FWD 2m/s t=10] pose=(0.750,0.390,-0.1deg) vel=(1.516,0.000,0.000) V=8.34
[DIAG FWD 2m/s t=15] pose=(0.800,0.394,-0.0deg) vel=(1.262,0.000,0.000) V=6.56
[DIAG FWD 2m/s t=20] pose=(0.868,0.395,0.0deg) vel=(1.438,0.000,0.000) V=8.26
[DIAG FWD 2m/s t=25] pose=(0.952,0.395,0.0deg) vel=(1.756,0.000,0.000) V=9.72
[DIAG FWD 2m/s t=30] pose=(1.048,0.395,0.0deg) vel=(1.948,0.000,0.000) V=10.88
[DIAG FWD 2m/s t=35] pose=(1.148,0.395,0.0deg) vel=(2.010,0.000,0.000) V=11.07
[DIAG FWD 2m/s t=40] pose=(1.249,0.395,0.0deg) vel=(2.030,0.000,0.000) V=11.29
[DIAG FWD 2m/s t=45] pose=(1.351,0.395,0.0deg) vel=(2.037,0.000,0.000) V=11.23
[DIAG FWD 2m/s t=50] pose=(1.453,0.395,0.0deg) vel=(2.039,0.000,0.000) V=11.34
[DIAG FWD 2m/s t=55] pose=(1.555,0.395,0.0deg) vel=(2.040,0.000,0.000) V=11.24
[DIAG FWD 2m/s t=60] pose=(1.657,0.395,0.0deg) vel=(2.040,0.000,0.000) V=11.34
[DIAG FWD 2m/s t=65] pose=(1.759,0.395,0.0deg) vel=(2.040,0.000,0.000) V=11.25
[DIAG FWD 2m/s t=70] pose=(1.861,0.395,0.0deg) vel=(2.040,0.000,0.000) V=11.34
[DIAG FWD 2m/s t=75] pose=(1.963,0.395,0.0deg) vel=(2.040,0.000,0.000) V=11.25
